X玖少年团,answer,高中时期的肖战像什么样子？,苡白,1007,195,https://api.zhihu.com/answers/792255399,（这张是被拉去当模特了，虽然现在看有点土，但是当年可是潮流呢） 那些说他整容的可以看看他父母，现在只是瘦了，会打扮了，毕竟有专业的化妆服装团队 因为最近看陈情令被肖战迷的简直了，然后在好奇心的驱动下，想去了解他更多，然后我在考古这条路上走到黑，知道的越多最有点意难平，可能是和肖战目前这个人设有些差距，后来想想，相比于高高在上的他这样真实的他更值得人去喜欢，，就像高中身边的男同学一样虽然出…
人性,answer,在男生眼中女生什么时候最丑陋、最邪恶？,匿名用户,16252,884,https://api.zhihu.com/answers/780282697,发小约喜欢的女生出来见面，我和他妹妹在不远的位置坐着。 “我喜欢一米八以上的。”她咬着吸管看着我发小，“我觉得男生不到一米八都是残废。” 我明显感觉得到发小的尴尬。 我正要发作，发小妹妹打开茶盖，咕噜咕噜瞬间喝得干干净净，空杯子“啪”的扣在桌面上。 她迈着大长腿，直直向他俩走去，这孩子打小性格火辣，我怕出事赶紧跟上。 主要是怕她把那女的打死。 发小看着他妹妹气势汹汹地走来也怔住了，那女的咬着吸管，歪着…
校园,answer,校园里的小混混都干过什么令人震惊的事？,反斗战士,7780,0,https://api.zhihu.com/answers/788550068,生物课上，一个美女老师教大家做实验，就是用显微镜做实验 给大家一些细胞标本，班里一个小混混看过一些标本之后，哈哈大笑起来，引得全班大乱老师过来问他笑什么，他小声凑过去跟生物老师说了一句话，导致老师满脸通红哭着跑了，据说是跟实验有关的问题，他想在显微镜下看一下某种细胞的活动，但是具体说了什么话其他人没听仔细，但是全班人震惊是肯定的！ 还有一次上自习，班里的这个混混打开窗户呸一口痰下去，片刻之后一个外…
黄晓明,answer,黄晓明是不是一直喜欢赵薇？？,匿名用户,984,62,https://api.zhihu.com/answers/795411496,不是，他只是喜欢他自己，第一季他们老师来的时候，说他们根本不可能在一起，不适合。他立马说我现在跟老婆过得挺好的，撇清关系，五秒钟以后他当着老师的面说，你这个脾气除了我没人能忍你。（好像就是，啊！你就放弃吧，我是你唯一的选择。唯有朕博爱！）结果老师立马怼他，人家还有老公呢，她老公能忍她啊！然而，事实上，除了他被赵薇中伤（活该的）其他每个人跟赵薇相处都很好，相反，在第三李，脱离赵薇以后，他差点被骂死…
同居,answer,情侣太早同居会怎么样？,渣叔叔,6391,812,https://api.zhihu.com/answers/790028802,有一句定理是 ‘上床速度在绝大多数情况下会影响恋爱进度’，希望你稍微了解一下。同居，同理。尤其是那些恋爱基础薄弱，感情基础不到位的情侣。 不知道你们是不是已经在一起恋爱三个月就同居了，如果不是，只是一种‘设想’， 那么我建议你最好不要。 不要和我说特例，什么很快同居以后依然长长久久结婚生子的，那是极少数的个例。 大部分情侣的情况都是‘普通’情况，如果你非要往特例上套，那么更多的等待你们的同居结果就是一…
佛法,answer,为什么地藏经被传得很神？,喝啥酒来瓶水吧,129,45,https://api.zhihu.com/answers/797944204,这个怎么说呢，亲身经历来一个吧。 一次偶然机会去佛堂，坐在凳子上看到对面书柜上的地藏经是倒放的。虽然那时候从来没有接触过佛法，但是也是感觉这样不怎么恭敬。就过去准备放正，走到跟前一看没有倒放，是正常放着的。然后我又退回去，刚坐下，一看书本还是倒放着的，我又过去准备摆正。走到书柜前面，刚准备伸手去摆正，发现这本《地藏菩萨本愿经》摆的挺正的。经过这两次的经历，索性把经书请走了。 请走之后就是读读，翻翻…
相声,answer,德云社这股“相声热”是不是就要过去了？,白色月光,115,20,https://api.zhihu.com/answers/795004995,照片是我同事拍的，16年她去看小园子，就这不及半张电影票的票价，当时还坐不满。现在即使剔除物价的影响，小园子价格已经翻几番了，而且一票难求，确实可以说是潮涌了。 看吧，以前大家都在小糊圈糊着，撑不着也饿不死，受到关注的也就是那两对能商演、上综艺的演员。除了相声观众，也没有过多的人去关注德云社，班主与别人的骂战，也只能吸引来更多的骂声。这两年随着某位演员爆红，流量来了，骂声也来了。社外骂，可以理解…
恋爱,answer,异地恋的意义在哪？,匿名用户,2,0,https://api.zhihu.com/answers/803360694,不追究意义本身，而是因为爱他这个人。 我们三年前通过他姐姐的介绍，互加了微信，从相识到了解到这三年断断续续的联系，一直没能忘记他带给我的感觉。身边也不是没有欣赏的喜欢的异性，但总感觉差点儿什么。 心里一直挂念，有次在酒精的作用下，我打电话给他，反复问他你到底喜不喜欢我，他沉默一阵儿过后，说了句喜欢怎么会不喜欢。当时委屈的很，哭了出来，他就一直在安慰我。 我就说你喜欢我我喜欢你，那么我们为什么要这样…
化妆品,answer,你用过哪些冷门便宜又好用得护肤品？,匿名用户,3054,827,https://api.zhihu.com/answers/795472676,一生推！！一瓶一瓶用完依旧欲罢不能！究竟是什么神仙护肤品哈哈哈请看这回分晓【沙雕女孩儿日常西西 请睁大你们的双眼Everybody (˃̶͈̀௰˂̶͈́) 说说我是怎么遇到这个神器的8，起初是高中油皮本皮爱长痘有痘印还手欠老抠、当年混迹于某护肤吧你萌懂得【小声哔哔一不小心暴露了人生进度 那一年，护肤吧很干净哈哈哈...全是楼主真实安利，没有几个电商，被强烈种草一芦荟胶！！划重点用过各种品牌：完…
剩女,answer,剩女是如何产生的？,青春闪了腰,1247,859,https://api.zhihu.com/answers/794535167,答主89男，单身。 在这两年相亲体验中，我发现了一个很有趣的现象：对于成家这件事，情绪最急迫、表现最积极主动的竟然是24.25.26岁的适龄姑娘，她们思路清晰，目标明确，知道取舍，她们热情洋溢，情感饱满，会安慰人会嘘寒问暖也会主动与人构想未来。反倒是跟我年纪相仿的成家问题更亟待解决的30.31岁大龄剩女在对待相亲时，表现的淡然自若，不紧不慢，仿佛在面试应聘者一样，庄严肃穆，高山仰止..即使在后来的沟通中，也总能感…
存钱,answer,你们都是怎么存钱的？,明天已在眼前,857,516,https://api.zhihu.com/answers/767809440,96年女，工作两年不到，存款9w，没有额外收入，全是靠工资和平时节约下来的。每个月给自己的花销是1500，除了1500之外的所有钱都会存起来，感觉存钱真的会上瘾的，看着余额数字变多真的特别爽。 这个月要打hpv疫苗，所以银行卡里面给自己留了两千多。 等到十月份，我算了一下，存款就有10w啦，人生第一个10w，期待中！ 我每个月花在吃上面的有500，平常在单位不喜欢做菜就订订外卖啥的，偶尔出去吃一顿啥的。 护肤品用的芙丽芳…
马思纯,article,如何看待马思纯上《快乐大本营》衣着不得体引发热议？,四斤,550,202,https://api.zhihu.com/articles/76644086,马思纯昨晚和邓论上《快乐大本营》，两个人分别唱了一个歌，结果第二天，也就是今天，邓论因为《烟花易冷》上热搜了，而马思纯则是因为衣服穿得太尴尬被网友结结实实嘲了一把。 马思纯这身白色深V连衣裙，是选的马思纯自己最喜欢的一个意大利轻奢小众女装…
腾讯,answer,腾讯工作待遇如何？,Nov 23,1246,344,https://api.zhihu.com/answers/719774247,早上不用打卡，10点前到公司就行。早上有班车，但我基本不坐，因为班车发车太早了8.10那我起床得在8点前了，我都是9.30起来坐地铁去公司。但是这样赶不上早饭，公司在17年周年庆的时候免了早餐，早餐是免费的，不过10点后就没早饭了。据说长期不吃早饭，喝水少(坐着一直写代码经常忘记喝水)容易得息肉和结石，现在尽量9点起来去公司赶早饭。中午一般可以提前一点11.45左右去食堂吃饭，食堂性价比高，相同价位在外面吃的很差。15…
两性关系,answer,为什么有男生喜欢微胖的女生？,大喵JW,1,2,https://api.zhihu.com/answers/804040845,这样的女生谁不喜欢？
猫,answer,冬天被子里长出猫是怎样的体验？,芸晓,27220,1262,https://api.zhihu.com/answers/550184572,第一次经历很惊恐！ 大早上喊我妈，“妈！！妈！！妈！！猫死了！妈！？猫死了！猫被我压死了！” 我妈：“踢你两脚，大早上乱喊。” //*************没有猫片************* //*************以下背景************* 很多年前的事，家里养的第一只猫。 因为这经历太特殊，所以记忆犹新。 那时猫还小。 一天早上睡得迷迷糊糊，想翻个身继续睡。 一动感觉自己压着了个软乎乎热乎乎的东西，立马掀被子看，猫侧睡，四腿伸着，脑袋却仰…
演员,answer,刘涛和蒋欣到底怎么了？,匿名用户,4894,559,https://api.zhihu.com/answers/726721455,你们忘了某个视频了？刘涛私底下让她的助理跪着（备注：之前写的跪着，是我记错了，是站着接口水，蹲着整理裙摆鞋子）用手接她的漱口水。看完我就呵呵了，天天炒作善良的人妻，私底下就是让别人用手接她漱口水，而且是特别的自然，可见她完全习惯了这样的生活。 身价那么高，你们还真觉得她本人对身边所有人都那么温柔体贴？给你一个亿，你会吗？当然了，人家助理说不定工资也很高，不然怎么愿意做这么没自尊的活。不过人设嘛，…
手机,answer,小米的前景怎么样？,注册装逼师,1789,1085,https://api.zhihu.com/answers/751885757,死不了，活不好，最终边缘化，成为无关紧要的厂商： 1，高端缺席，中端崩溃（小米9，数字系列历代销量最低），只有低端还在走量，没有核心竞争力，掌控不了供应链，还没沦为others纯粹是因为还留在牌桌上的玩家已经不多了。过了明年排第四还是第五，纯粹看华为和荣耀是分开算还是一起算。 只有红米卖得好没用的，NOKIA临死前1110卖了一亿部，又如何。仔细想想为啥千元以内小米无敌，为啥上了两千小米就不行了。 2，所谓AIOT，只…
支付宝,answer,支付宝里的相互宝是不是个坑？,大令保,1655,557,https://api.zhihu.com/answers/744712641,不花钱就能加入 别人生病我出1毛 我生病大家给凑30万 这百分百纯羊毛的感觉 可不是谁见了都乐意薅~ 今儿咱就来看看这薅羊毛产品 相互宝 大家熟知的 “吉祥三宝”中的“相互宝”，我估摸着很多人已经把这位宝宝当成自己后半生的保障了，甚至觉得重疾险、医疗险都没有存在的必要了。OKOK！请大家冷静！大令君赶紧说一说 由“互联网+保险”演变为“互联网+互助”的相互宝。这款产品呢有人夸也有有黑，它到底好不好呢，值不值得加入…
法律,answer,你为什么支持死刑？,呆琳,11390,1013,https://api.zhihu.com/answers/761217734,初高中时经常看今日说法。 幼儿园女童在家，和爸爸做游戏，当着她爸的面，躺在床上做出一些成年人才会的动作，幸亏她爸警觉，问她，谁给你教的？谁让你这么做的？女孩说，幼儿园的男老师经常教她这样玩游戏。于是家长火速赶去医院求证，结果不得而知。（ 不言而喻）另外一个女孩，奶奶在家给她洗澡发现了异常，去医院，也是同样的结果。 一共三四个女孩吧，四五岁左右，这个幼儿园男老师用同样的手法对几个无知的孩子下手。 这样…
综艺,answer,《向往的生活》中，哪一幕最打动你？,阿倦,289,31,https://api.zhihu.com/answers/800272762,第二季沈月都都那一期，沈月冲完脚出来以后因为接着要洗澡就没有穿鞋，光脚走在院子里，大华看到以后有些生气（其实我感觉这里是佯装生气）的跟她说，不是跟你说要穿鞋吗，你为什么不穿鞋，你知道院子里我们钉了多少钉子吗？然后进屋给月月把鞋拿出来让她穿上 这里真的很暖，感觉就像家里的哥哥担心你的安全，第一遍用很正常的语气告诉妹妹，这里有钉子你要穿鞋，但是妹妹还是没有穿鞋，哥哥就加重语气(为了让妹妹以后记住)说，…
